CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
30.213.493/0001-09,TEGRA INCORPORADORA S.A.,Tegra Incorporadora,25844,TEGA3
02.558.157/0001-62,TELEFÔNICA BRASIL S.A.,Vivo,17671,VIVT3
40.337.136/0001-06,TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,Terra Santa,26000,LAND3
02.421.421/0001-11,TIM S.A.,TIM,24929,TIMS3
53.113.791/0001-22,TOTVS S.A,Totvs,19992,TOTS3
03.014.553/0001-91,TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.,Triunfo,19330,TPIS3
59.418.806/0001-47,TRACK & FIELD CO S.A,Track & Field,25208,TFCO4
07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Taesa,20257,"TAEE3, TAEE4, TAEE11"
08.811.643/0001-27,TRISUL S/A,Trisul,21130,TRIS3
94.813.102/0001-70,TRÊS TENTOS AGROINDUSTRIAL S.A.,3tentos,25950,TTEN3
84.683.374/0001-49,TUPY SA,Tupy,6343,TUPY3
33.256.439/0001-39,ULTRAPAR PARTICIPAÇÕES SA,Ultrapar,18465,UGPA3
90.441.460/0001-48,UNICASA INDÚSTRIA DE MÓVEIS S.A.,Unicasa,22780,UCAS3
02.255.187/0001-08,UNIFIQUE TELECOMUNICAÇÕES S.A.,Unifique,26050,FIQE3
33.958.695/0001-78,UNIPAR CARBOCLORO S.A.,Unipar,11592,"UNIP3, UNIP5, UNIP6"
60.894.730/0001-05,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Usiminas,14320,"USIM3, USIM5, USIM6"
33.592.510/0001-54,VALE S.A.,Vale,4170,VALE3
33.113.309/0001-47,VALID SOLUÇÕES S.A.,Valid,20028,VLID3
23.373.000/0001-32,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.",Grupo Vamos,24716,VAMO3
49.669.856/0001-43,VESTE SA ESTILO,LE LIS BLANC,21440,"LLIS3, VSTE3"
34.274.233/0001-02,VIBRA ENERGIA S/A,Vibra Energia,24295,VBBR3
45.365.558/0001-09,VITTIA S.A.,Vittia,25763,VITT3
33.839.910/0001-11,VIVARA PARTICIPAÇÕES S.A.,Vivara,24805,VIVA3
67.571.414/0001-41,VIVER INCORPORADORA E CONSTRUTORA S.A,Viver,20702,VIVR3
50.926.955/0001-42,VULCABRAS S.A.,Vulcabras,11762,VULC3
84.429.695/0001-11,WEG SA,WEG,5410,WEGE3
14.776.142/0001-50,WESTWING COMÉRCIO VAREJISTA S.A.,Westwing,25518,WEST3
33.130.691/0001-05,WILSON SONS S.A.,Wilson Sons,26247,PORT3
42.278.473/0001-03,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,Wiz Soluções,23590,WIZC3
08.807.432/0001-10,YDUQS PARTICIPACOES S.A.,YDUQS,21016,YDUQ3
13.574.594/0001-96,ZAMP S.A.,Zamp,24317,"BKBR3, ZAMP3"
